 Origen, Destino,Connection,Latitud origen   ,Longitud origen ,latitud destino ,longitud destino
Armenia,Pereira,ARMENIA-PEREIRA,4.5389,-75.6725,4.8143,-75.6946
ARMENIA,San Andrés and Providencia,ARMENIA-SAN ANDRES - ISLA,4.5389,-75.6725,12.5847,-81.7006
ARMENIA,Barranquilla,ARMENIA-BARRANQUILLA,4.5389,-75.6725,10.9639,-74.7964
ARMENIA,Bucaramanga,ARMENIA-BUCARAMANGA,4.5389,-75.6725,7.1333,-73.0000
ARMENIA,Cali,ARMENIA-CALI,4.5389,-75.6725,3.4206,-76.5222
ARMENIA,Cartagena,ARMENIA-CARTAGENA,4.5389,-75.6725,10.4000,-75.5000
ARMENIA,Cúcuta,ARMENIA-CUCUTA,4.5389,-75.6725,7.8942,-72.5039
ARMENIA,Montería,ARMENIA-MONTERIA,4.5389,-75.6725,8.7500,-75.8833
ARMENIA,Neiva,ARMENIA-NEIVA,4.5389,-75.6725,2.9986,-75.3044
ARMENIA,Popayán,ARMENIA-POPAYAN,4.5389,-75.6725,2.4445,-76.6146
ARMENIA,"Pasto, Colombia",ARMENIA-PASTO,4.5389,-75.6725,1.2078,-77.2772
ARMENIA,Riohacha,ARMENIA-RIOHACHA,4.5389,-75.6725,11.5442,-72.9069
BARRANQUILLA,Montería,BARRANQUILLA-MONTERIA,10.9639,-74.7964,8.7500,-75.8833
BARRANQUILLA,Valledupar,BARRANQUILLA-VALLEDUPAR,10.9639,-74.7964,10.4690,-73.2570
BARRANQUILLA,Bogotá,BARRANQUILLA-BOGOTA,10.9639,-74.7964,4.6126,-74.0705
BOGOTA,Pereira,BOGOTA-PEREIRA,4.6126,-74.0705,4.8143,-75.6946
BOGOTA,Cúcuta,BOGOTA-CUCUTA,4.6126,-74.0705,7.8942,-72.5039
BOGOTA,Bogotá,BOGOTA-BOGOTA,4.6126,-74.0705,4.6126,-74.0705
BOGOTA,Ibagué,BOGOTA-IBAGUE,4.6126,-74.0705,4.4449,-75.2434
BOGOTA,Mitú,BOGOTA-MITU,4.6126,-74.0705,29.9224,-82.6937
BUCARAMANGA,Barranquilla,BUCARAMANGA-BARRANQUILLA,7.1186,-73.1161,10.9639,-74.7964
CALI,Medellín,CALI-MEDELLIN,3.44,-76.5197,6.2308,-75.5906
CALI,Bogotá,CALI-BOGOTA,3.44,-76.5197,4.6126,-74.0705
CALI,Quibdó,CALI-QUIBDO,3.44,-76.5197,5.6922,-76.6581
CALI,Bucaramanga,CALI-BUCARAMANGA,3.44,-76.5197,7.1333,-73.0000
CARTAGENA,Santa Marta,CARTAGENA-SANTA MARTA,10.4236,-75.5253,11.2320,-74.2007
CARTAGENA,Barranquilla,CARTAGENA-BARRANQUILLA,10.4236,-75.5253,10.9639,-74.7964
Cúcuta,Bucaramanga,CUCUTA-BUCARAMANGA,7.8942,-72.5039,7.1333,-73.0000
Cúcuta,Leticia,CUCUTA-LETICIA,7.8942,-72.5039,-4.2167,-69.9333
Cúcuta,Villavicencio,CUCUTA-VILLAVICENCIO,7.8942,-72.5039,4.1500,-73.6333
Florencia,Neiva,FLORENCIA-NEIVA,1.6139,-75.6128,2.9986,-75.3044
IBAGUE,Neiva,IBAGUE-NEIVA,4.4378,-75.2006,2.9986,-75.3044
IBAGUE,Popayán,IBAGUE-POPAYAN,4.4378,-75.2006,2.4445,-76.6146
IBAGUE,Villavicencio,IBAGUE-VILLAVICENCIO,4.4378,-75.2006,4.1500,-73.6333
LETICIA,Armenia,LETICIA-ARMENIA,-4.215,-69.9411,4.5286,-75.7042
LETICIA,Barranquilla,LETICIA-BARRANQUILLA,-4.215,-69.9411,10.9639,-74.7964
LETICIA,Montería,LETICIA-MONTERIA,-4.215,-69.9411,8.7500,-75.8833
LETICIA,Riohacha,LETICIA-RIOHACHA,-4.215,-69.9411,11.5442,-72.9069
LETICIA,Valledupar,LETICIA-VALLEDUPAR,-4.215,-69.9411,10.4690,-73.2570
MEDELLIN,Armenia,MEDELLIN-ARMENIA,6.2447,-75.5748,4.5286,-75.7042
MEDELLIN,Pereira,MEDELLIN-PEREIRA,6.2447,-75.5748,4.8143,-75.6946
MEDELLIN,Cartagena,MEDELLIN-CARTAGENA,6.2447,-75.5748,10.4000,-75.5000
MEDELLIN,Riohacha,MEDELLIN-RIOHACHA,6.2447,-75.5748,11.5442,-72.9069
Mitú,Mitú,MITU-MITU,29.9224,-82.6937,29.9224,-82.6937
Mitú,Montería,MITU-MONTERIA,29.9224,-82.6937,8.7500,-75.8833
Mitú,Bogotá,MITU-BOGOTA,29.9224,-82.6937,4.6126,-74.0705
MONTERIA,Barranquilla,MONTERIA-BARRANQUILLA,8.76,-75.8856,10.9639,-74.7964
MONTERIA,Mitú,MONTERIA-MITU,8.76,-75.8856,29.9224,-82.6937
MONTERIA,Leticia,MONTERIA-LETICIA,8.76,-75.8856,-4.2167,-69.9333
NEIVA,Popayán,NEIVA-POPAYAN,2.9275,-75.2875,2.4445,-76.6146
Neiva,Villavicencio,NEIVA-VILLAVICENCIO,2.9275,-75.3044,4.1500,-73.6333
NEIVA,Bogotá,NEIVA-BOGOTA,2.9275,-75.2875,4.6126,-74.0705
NEIVA,Florencia,NEIVA-FLORENCIA,2.9275,-75.2875,1.6139,-75.6128
PASTO,Barranquilla,PASTO-BARRANQUILLA,1.2136,-77.2811,10.9639,-74.7964
PASTO,Bucaramanga,PASTO-BUCARAMANGA,1.2136,-77.2811,7.1333,-73.0000
PASTO,Cúcuta,PASTO-CUCUTA,1.2136,-77.2811,7.8942,-72.5039
PASTO,Leticia,PASTO-LETICIA,1.2136,-77.2811,-4.2167,-69.9333
PASTO,Pereira,PASTO-PEREIRA,1.2136,-77.2811,4.8143,-75.6946
PASTO,Santa Marta,PASTO-SANTA MARTA,1.2136,-77.2811,11.2320,-74.2007
PEREIRA,Bogotá,PEREIRA-BOGOTA,4.8143,-75.6946,4.6126,-74.0705
PEREIRA,Medellín,PEREIRA-MEDELLIN,4.8143,-75.6946,6.2308,-75.5906
PEREIRA,Armenia,PEREIRA-ARMENIA,4.8143,-75.6946,4.5286,-75.7042
POPAYAN,Armenia,POPAYAN-ARMENIA,2.4411,-76.6061,4.5286,-75.7042
POPAYAN,Ibagué,POPAYAN-IBAGUE,2.4411,-76.6061,4.4449,-75.2434
POPAYAN,Villavicencio,POPAYAN-VILLAVICENCIO,2.4411,-76.6061,4.1500,-73.6333
PUERTO CARRENO,Puerto Carreño,PUERTO CARRENO-PUERTO CARRENO,6.1889,-67.4858,6.1909,-67.4848
QUIBDO,Medellín,QUIBDO-MEDELLIN,5.6923,-76.6582,6.2308,-75.5906
RIOHACHA,Barranquilla,RIOHACHA-BARRANQUILLA,11.5442,-72.9069,10.9639,-74.7964
RIOHACHA,Bogotá,RIOHACHA-BOGOTA,11.5442,-72.9069,4.6126,-74.0705
RIOHACHA,San Andrés and Providencia,RIOHACHA-SAN ANDRES - ISLA,11.5442,-72.9069,12.5847,-81.7006
RIOHACHA,Leticia,RIOHACHA-LETICIA,11.5442,-72.9069,-4.2167,-69.9333
RIOHACHA,Santa Marta,RIOHACHA-SANTA MARTA,11.5442,-72.9069,11.2320,-74.2007
SAN ANDRES - ISLA,Montería,SAN ANDRES - ISLA-MONTERIA,12.5847,-81.7006,8.7500,-75.8833
SAN ANDRES - ISLA,Valledupar,SAN ANDRES - ISLA-VALLEDUPAR,12.5847,-81.7006,10.4690,-73.2570
SAN ANDRES - ISLA,Leticia,SAN ANDRES - ISLA-LETICIA,12.5847,-81.7006,-4.2167,-69.9333
SANTA MARTA,Bucaramanga,SANTA MARTA-BUCARAMANGA,11.2361,-74.2017,7.1333,-73.0000
SANTA MARTA,Barranquilla,SANTA MARTA-BARRANQUILLA,11.2361,-74.2017,10.9639,-74.7964
SANTA MARTA,Montería,SANTA MARTA-MONTERIA,11.2361,-74.2017,8.7500,-75.8833
SANTA MARTA,"Pasto, Colombia",SANTA MARTA-PASTO,11.2361,-74.2017,1.2078,-77.2772
SANTA MARTA,Riohacha,SANTA MARTA-RIOHACHA,11.2361,-74.2017,11.5442,-72.9069
VALLEDUPAR,Barranquilla,VALLEDUPAR-BARRANQUILLA,10.4603,-73.2597,10.9639,-74.7964
VALLEDUPAR,Medellín,VALLEDUPAR-MEDELLIN,10.4603,-73.2597,6.2308,-75.5906
VALLEDUPAR,Armenia,VALLEDUPAR-ARMENIA,10.4603,-73.2597,4.5286,-75.7042
VALLEDUPAR,Leticia,VALLEDUPAR-LETICIA,10.4603,-73.2597,-4.2167,-69.9333
VALLEDUPAR,Villavicencio,VALLEDUPAR-VILLAVICENCIO,10.4603,-73.2597,4.1500,-73.6333
VILLAVICENCIO,Ibagué,VILLAVICENCIO-IBAGUE,4.1425,-73.6294,4.4449,-75.2434
VILLAVICENCIO,Valledupar,VILLAVICENCIO-VALLEDUPAR,4.1425,-73.6294,10.4690,-73.2570
